LFM_PROFILE | model.layers.{}.conv.in_proj-4 | MUL_MAT | 5744
LFM_PROFILE | model.layers.{}.conv.in_proj-4 (view) | MUL | 21
LFM_PROFILE | node_128 (reshaped) | CONCAT | 76
LFM_PROFILE | cache_r_l4 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | model.layers.{}.conv.conv-4 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-4 (view) | MUL | 7
LFM_PROFILE | model.layers.{}.conv.out_proj-4 | MUL_MAT | 3384
LFM_PROFILE | node_145 | ADD | 10
LFM_PROFILE | norm-4 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-4 | MUL | 6
LFM_PROFILE | ffn_gate-4 | MUL_MAT | 10992
LFM_PROFILE | ffn_up-4 | MUL_MAT | 11121
LFM_PROFILE | ffn_swiglu-4 | GLU | 196
LFM_PROFILE | blk.4.ffn_down.weight | MUL_MAT | 17444
LFM_PROFILE | node_163 | ADD | 12
LFM_PROFILE | norm-5 | RMS_NORM | 102
LFM_PROFILE | model.layers.{}.operator_norm-5 | MUL | 5
LFM_PROFILE | model.layers.{}.self_attn.q_proj-5 | MUL_MAT | 2659
LFM_PROFILE | norm-5 | RMS_NORM | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-5 | MUL | 2
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-5 | ROPE | 6
LFM_PROFILE | model.layers.{}.self_attn.v_proj-5 | MUL_MAT | 869
LFM_PROFILE | model.layers.{}.self_attn.k_proj-5 | MUL_MAT | 869
LFM_PROFILE | norm-5 | RMS_NORM | 3
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-5 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-5 | ROPE | 4
LFM_PROFILE | cache_k_l5 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l5 (view) | SET_ROWS | 30
LFM_PROFILE | __fattn__-5 | FLASH_ATTN_EXT | 343
LFM_PROFILE | cache_r_l6 (reshaped) (view) (view) | SCALE | 8
LFM_PROFILE | cache_r_l6 (reshaped) | GET_ROWS | 6
LFM_PROFILE | cache_r_l6 (reshaped) | GET_ROWS | 1
LFM_PROFILE | cache_r_l6 (view) (copy of ) | CPY | 0
