=== CPU Only | T=4 | R=10 ===

[09:09:59] Running llama-bench (CPU Only)...
1779181959 power=4810 rss=3168 lpdt=29 plt=25
1779181961 power=5020 rss=3168 lpdt=26 plt=26
1779181962 power=5100 rss=3168 lpdt=27 plt=26
1779181964 power=5100 rss=3168 lpdt=26 plt=26
1779181965 power=4900 rss=3168 lpdt=28 plt=26
1779181967 power=5140 rss=3168 lpdt=27 plt=25
1779181969 power=5140 rss=3168 lpdt=27 plt=26
1779181970 power=5130 rss=3168 lpdt=27 plt=26
1779181972 power=4870 rss=3168 lpdt=28 plt=25
1779181973 power=5070 rss=3168 lpdt=28 plt=26
1779181975 power=4850 rss=3168 lpdt=27 plt=26
1779181976 power=5240 rss=3168 lpdt=28 plt=24
1779181978 power=5160 rss=3168 lpdt=26 plt=26
1779181979 power=5180 rss=3168 lpdt=27 plt=27
1779181981 power=5070 rss=3168 lpdt=28 plt=27
1779181982 power=5050 rss=3168 lpdt=27 plt=26
1779181984 power=4620 rss=3168 lpdt=27 plt=26
1779181985 power=5150 rss=3168 lpdt=29 plt=26
1779181987 power=5290 rss=3168 lpdt=27 plt=26
1779181988 power=5090 rss=3168 lpdt=28 plt=27
1779181990 power=4810 rss=3168 lpdt=27 plt=25
1779181991 power=4990 rss=3168 lpdt=27 plt=25
1779181993 power=5150 rss=3168 lpdt=28 plt=26
1779181994 power=5110 rss=3168 lpdt=27 plt=26
1779181996 power=4860 rss=3168 lpdt=27 plt=26
1779181997 power=5180 rss=3168 lpdt=27 plt=26
1779181999 power=4930 rss=3168 lpdt=27 plt=26
1779182000 power=4660 rss=3168 lpdt=28 plt=26
1779182002 power=4920 rss=3168 lpdt=28 plt=25
1779182003 power=4820 rss=3168 lpdt=27 plt=27
1779182005 power=5170 rss=3168 lpdt=28 plt=26
1779182006 power=4820 rss=3168 lpdt=27 plt=26
1779182008 power=4800 rss=3168 lpdt=26 plt=26
1779182009 power=5030 rss=3168 lpdt=29 plt=25
1779182011 power=5100 rss=3168 lpdt=26 plt=26
1779182012 power=4940 rss=3168 lpdt=28 plt=27
1779182014 power=5080 rss=3168 lpdt=28 plt=27
1779182015 power=5110 rss=3168 lpdt=27 plt=25
1779182017 power=5090 rss=3168 lpdt=27 plt=27
1779182018 power=5010 rss=3168 lpdt=28 plt=27
1779182020 power=4960 rss=3168 lpdt=26 plt=26
1779182021 power=5030 rss=3168 lpdt=28 plt=26
1779182023 power=5110 rss=3168 lpdt=27 plt=26
1779182024 power=5060 rss=3168 lpdt=28 plt=25
1779182026 power=5070 rss=3168 lpdt=27 plt=26
1779182027 power=4960 rss=3168 lpdt=28 plt=27
1779182029 power=5140 rss=3168 lpdt=28 plt=26
1779182030 power=4830 rss=3168 lpdt=28 plt=27
1779182031 power=5040 rss=3168 lpdt=27 plt=25
1779182033 power=4890 rss=3168 lpdt=28 plt=26
1779182034 power=5170 rss=3168 lpdt=27 plt=26
1779182036 power=4940 rss=3168 lpdt=26 plt=26
1779182038 power=4740 rss=3168 lpdt=28 plt=25
1779182039 power=4800 rss=3168 lpdt=28 plt=26
1779182040 power=4810 rss=3168 lpdt=29 plt=27
1779182042 power=4960 rss=3168 lpdt=28 plt=26
1779182043 power=4820 rss=3168 lpdt=28 plt=25
1779182045 power=5060 rss=3168 lpdt=27 plt=27
1779182046 power=4810 rss=3168 lpdt=27 plt=25
1779182048 power=4890 rss=3168 lpdt=27 plt=26
1779182049 power=4900 rss=3168 lpdt=27 plt=27
1779182051 power=4910 rss=3168 lpdt=26 plt=25
1779182052 power=5130 rss=3168 lpdt=28 plt=25
1779182054 power=4930 rss=3168 lpdt=28 plt=25
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       4 |            tg64 |          2.73 ± 0.02 |

build: 2cd20b72e (8210)

=== Summary CPU T4 ===
Throughput: | model                          |       size |     params | backend    | threads |            test |                  t/s |
Avg power: 4.97 W  (4974.0 mW, 171 samples)
Avg temp (C): LPD=27  PL=26
Peak RSS: 3 MB
Log: /tmp/cpu_t4_20260519_090959.log
