=== CPU Only | T=2 | R=10 ===

[09:24:31] Running llama-bench (CPU Only)...
1779182671 power=4470 rss=3248 lpdt=28 plt=25
1779182672 power=4330 rss=3248 lpdt=27 plt=26
1779182674 power=4820 rss=3248 lpdt=27 plt=25
1779182675 power=4760 rss=3248 lpdt=27 plt=26
1779182677 power=4650 rss=3248 lpdt=26 plt=24
1779182678 power=4660 rss=3248 lpdt=27 plt=24
1779182680 power=4740 rss=3248 lpdt=27 plt=25
1779182681 power=5540 rss=3248 lpdt=27 plt=26
1779182683 power=4620 rss=3248 lpdt=26 plt=27
1779182684 power=4660 rss=3248 lpdt=25 plt=25
1779182686 power=4670 rss=3248 lpdt=27 plt=26
1779182687 power=4690 rss=3248 lpdt=26 plt=25
1779182689 power=4790 rss=3248 lpdt=27 plt=26
1779182690 power=4650 rss=3248 lpdt=27 plt=27
1779182692 power=4670 rss=3248 lpdt=25 plt=26
1779182693 power=4670 rss=3248 lpdt=28 plt=26
| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       2 |             pp4 |          2.20 ± 0.00 |
1779182695 power=4860 rss=3248 lpdt=26 plt=25
1779182696 power=4890 rss=3248 lpdt=26 plt=25
1779182698 power=4890 rss=3248 lpdt=28 plt=25
1779182699 power=4830 rss=3248 lpdt=26 plt=25
1779182701 power=5100 rss=3248 lpdt=27 plt=25
1779182702 power=4890 rss=3248 lpdt=27 plt=24
1779182703 power=4910 rss=3248 lpdt=27 plt=25
1779182705 power=4870 rss=3248 lpdt=26 plt=25
1779182706 power=4870 rss=3248 lpdt=26 plt=26
1779182708 power=4830 rss=3248 lpdt=28 plt=25
1779182710 power=4950 rss=3248 lpdt=27 plt=26
1779182711 power=4960 rss=3248 lpdt=28 plt=26
1779182713 power=5840 rss=3248 lpdt=27 plt=25
1779182714 power=4890 rss=3248 lpdt=28 plt=27
1779182716 power=4860 rss=3248 lpdt=27 plt=25
1779182717 power=4860 rss=3248 lpdt=27 plt=26
1779182719 power=4880 rss=3248 lpdt=27 plt=26
1779182720 power=4880 rss=3248 lpdt=27 plt=25
1779182722 power=4890 rss=3248 lpdt=27 plt=25
1779182723 power=4820 rss=3248 lpdt=26 plt=25
1779182725 power=4820 rss=3248 lpdt=27 plt=25
1779182727 power=4830 rss=3248 lpdt=26 plt=26
1779182728 power=4940 rss=3248 lpdt=26 plt=25
1779182730 power=4940 rss=3248 lpdt=27 plt=25
1779182731 power=4870 rss=3248 lpdt=26 plt=25
1779182733 power=5120 rss=3248 lpdt=26 plt=25
1779182734 power=4870 rss=3248 lpdt=27 plt=24
1779182736 power=4850 rss=3248 lpdt=26 plt=27
