=== CPU Only | T=1 | R=10 ===

[09:30:44] Running llama-bench (CPU Only)...
1779183148 power=4540 rss=3224 lpdt=26 plt=25
1779183149 power=4540 rss=3224 lpdt=25 plt=24
1779183151 power=4560 rss=3224 lpdt=26 plt=25
1779183152 power=4520 rss=3224 lpdt=26 plt=24
1779183154 power=4560 rss=3224 lpdt=27 plt=25
1779183155 power=4530 rss=3224 lpdt=25 plt=26
1779183156 power=4480 rss=3224 lpdt=26 plt=24
1779183158 power=4540 rss=3224 lpdt=27 plt=26
1779183159 power=4540 rss=3224 lpdt=26 plt=24
1779183161 power=4570 rss=3224 lpdt=27 plt=25
1779183162 power=4540 rss=3224 lpdt=26 plt=24
1779183164 power=4540 rss=3224 lpdt=26 plt=24
1779183165 power=4540 rss=3224 lpdt=25 plt=26
1779183167 power=4530 rss=3224 lpdt=26 plt=26
1779183168 power=4570 rss=3224 lpdt=26 plt=25
1779183170 power=4530 rss=3224 lpdt=25 plt=25
1779183171 power=4530 rss=3224 lpdt=26 plt=26
1779183173 power=4530 rss=3224 lpdt=27 plt=25
1779183174 power=4540 rss=3224 lpdt=27 plt=26
1779183175 power=4540 rss=3224 lpdt=26 plt=26
1779183177 power=4540 rss=3224 lpdt=26 plt=26
1779183178 power=4540 rss=3224 lpdt=28 plt=26
1779183180 power=4560 rss=3224 lpdt=26 plt=25
1779183181 power=5020 rss=3224 lpdt=26 plt=25
1779183183 power=4520 rss=3224 lpdt=25 plt=25
1779183184 power=4500 rss=3224 lpdt=25 plt=25
1779183186 power=4550 rss=3224 lpdt=25 plt=26
1779183187 power=4530 rss=3224 lpdt=26 plt=25
1779183189 power=4540 rss=3224 lpdt=25 plt=25
1779183190 power=4520 rss=3224 lpdt=27 plt=25
1779183191 power=4540 rss=3224 lpdt=26 plt=25
1779183193 power=4550 rss=3224 lpdt=26 plt=25
1779183194 power=4520 rss=3224 lpdt=25 plt=26
1779183196 power=4540 rss=3224 lpdt=27 plt=26
1779183197 power=4540 rss=3224 lpdt=26 plt=24
1779183199 power=4540 rss=3224 lpdt=26 plt=25
1779183200 power=4530 rss=3224 lpdt=25 plt=26
1779183202 power=4530 rss=3224 lpdt=26 plt=26
1779183203 power=4550 rss=3224 lpdt=26 plt=26
1779183204 power=4540 rss=3224 lpdt=25 plt=26
1779183206 power=4530 rss=3224 lpdt=25 plt=25
1779183207 power=4580 rss=3224 lpdt=26 plt=25
1779183209 power=4530 rss=3224 lpdt=25 plt=24
1779183210 power=4540 rss=3224 lpdt=26 plt=25
1779183212 power=4530 rss=3224 lpdt=27 plt=25
1779183213 power=4520 rss=3224 lpdt=26 plt=25
1779183215 power=4570 rss=3224 lpdt=27 plt=24
1779183216 power=4560 rss=3224 lpdt=26 plt=25
1779183217 power=4730 rss=3224 lpdt=26 plt=25
1779183219 power=4550 rss=3224 lpdt=25 plt=25
1779183220 power=4660 rss=3224 lpdt=26 plt=25
1779183222 power=4570 rss=3224 lpdt=25 plt=26
1779183223 power=4530 rss=3224 lpdt=25 plt=25
1779183225 power=4540 rss=3224 lpdt=25 plt=26
1779183226 power=4520 rss=3224 lpdt=25 plt=25
1779183228 power=4550 rss=3224 lpdt=26 plt=26
1779183229 power=4580 rss=3224 lpdt=27 plt=25
1779183231 power=4530 rss=3224 lpdt=25 plt=25
1779183232 power=4490 rss=3224 lpdt=25 plt=25
1779183233 power=4530 rss=3224 lpdt=26 plt=24
1779183235 power=4530 rss=3224 lpdt=25 plt=25
1779183236 power=4520 rss=3224 lpdt=27 plt=25
1779183238 power=4510 rss=3224 lpdt=25 plt=25
1779183239 power=4600 rss=3224 lpdt=25 plt=25
1779183241 power=4550 rss=3224 lpdt=25 plt=24
1779183242 power=4540 rss=3224 lpdt=25 plt=26
1779183244 power=4540 rss=3224 lpdt=25 plt=24
1779183245 power=4560 rss=3224 lpdt=27 plt=25
1779183247 power=4560 rss=3224 lpdt=24 plt=25
1779183248 power=4560 rss=3224 lpdt=25 plt=24
1779183249 power=4540 rss=3224 lpdt=25 plt=25
1779183251 power=4530 rss=3224 lpdt=25 plt=25
1779183252 power=4530 rss=3224 lpdt=26 plt=25
1779183254 power=4780 rss=3224 lpdt=24 plt=25
1779183255 power=4570 rss=3224 lpdt=26 plt=26
1779183257 power=4540 rss=3224 lpdt=25 plt=25
1779183258 power=4560 rss=3224 lpdt=26 plt=26
1779183260 power=4530 rss=3224 lpdt=25 plt=26
1779183261 power=4570 rss=3224 lpdt=26 plt=26
1779183262 power=4540 rss=3224 lpdt=26 plt=25
1779183264 power=4520 rss=3224 lpdt=26 plt=25
1779183265 power=4530 rss=3224 lpdt=26 plt=24
1779183267 power=4530 rss=3224 lpdt=24 plt=25
1779183268 power=4590 rss=3224 lpdt=25 plt=25
1779183270 power=4550 rss=3224 lpdt=26 plt=26
1779183271 power=4570 rss=3224 lpdt=27 plt=26
1779183273 power=4510 rss=3224 lpdt=26 plt=25
1779183274 power=4550 rss=3224 lpdt=26 plt=26
1779183276 power=4550 rss=3224 lpdt=26 plt=25
1779183277 power=4540 rss=3224 lpdt=26 plt=25
1779183278 power=4550 rss=3224 lpdt=27 plt=26
1779183280 power=4530 rss=3224 lpdt=26 plt=25
1779183281 power=4530 rss=3224 lpdt=26 plt=25
1779183283 power=4550 rss=3224 lpdt=26 plt=26
1779183284 power=4530 rss=3224 lpdt=25 plt=24
1779183286 power=4530 rss=3224 lpdt=25 plt=24
1779183287 power=4540 rss=3224 lpdt=25 plt=26
1779183289 power=4530 rss=3224 lpdt=25 plt=24
1779183290 power=4540 rss=3224 lpdt=26 plt=26
1779183292 power=4530 rss=3224 lpdt=26 plt=26
1779183293 power=4710 rss=3224 lpdt=26 plt=24
1779183294 power=4550 rss=3224 lpdt=27 plt=25
1779183296 power=4530 rss=3224 lpdt=28 plt=24
1779183297 power=4530 rss=3224 lpdt=27 plt=25
1779183299 power=4540 rss=3224 lpdt=25 plt=27
1779183300 power=4590 rss=3224 lpdt=25 plt=26
1779183302 power=4530 rss=3224 lpdt=25 plt=25
1779183303 power=4550 rss=3224 lpdt=24 plt=25
1779183305 power=4550 rss=3224 lpdt=26 plt=24
1779183306 power=4540 rss=3224 lpdt=26 plt=25
1779183307 power=4580 rss=3224 lpdt=26 plt=25
1779183309 power=4530 rss=3224 lpdt=26 plt=24
1779183310 power=4540 rss=3224 lpdt=27 plt=25
1779183312 power=4550 rss=3224 lpdt=26 plt=26
1779183313 power=4550 rss=3224 lpdt=25 plt=25
1779183315 power=4590 rss=3224 lpdt=25 plt=25
1779183316 power=4550 rss=3224 lpdt=26 plt=26
1779183318 power=4540 rss=3224 lpdt=24 plt=25
1779183319 power=4520 rss=3224 lpdt=26 plt=26
1779183320 power=4530 rss=3224 lpdt=27 plt=25
1779183322 power=4580 rss=3224 lpdt=26 plt=25
1779183323 power=4530 rss=3224 lpdt=26 plt=25
1779183325 power=4570 rss=3224 lpdt=27 plt=26
1779183326 power=4530 rss=3224 lpdt=27 plt=25
1779183328 power=4540 rss=3224 lpdt=25 plt=24
1779183329 power=4540 rss=3224 lpdt=26 plt=26
1779183331 power=4520 rss=3224 lpdt=27 plt=25
1779183332 power=4550 rss=3224 lpdt=27 plt=24
1779183334 power=4540 rss=3224 lpdt=25 plt=24
1779183335 power=4540 rss=3224 lpdt=25 plt=25
1779183336 power=4540 rss=3224 lpdt=26 plt=25
1779183338 power=4550 rss=3224 lpdt=25 plt=25
1779183339 power=4540 rss=3224 lpdt=26 plt=25
1779183341 power=4540 rss=3224 lpdt=25 plt=26
1779183342 power=4540 rss=3224 lpdt=25 plt=26
1779183344 power=4570 rss=3224 lpdt=25 plt=26
1779183345 power=4520 rss=3224 lpdt=26 plt=25
1779183346 power=4530 rss=3224 lpdt=27 plt=24
1779183348 power=4560 rss=3224 lpdt=27 plt=25
1779183349 power=4560 rss=3224 lpdt=25 plt=25
1779183351 power=4590 rss=3224 lpdt=26 plt=26
1779183352 power=4520 rss=3224 lpdt=25 plt=24
1779183354 power=4540 rss=3224 lpdt=26 plt=24
1779183355 power=4530 rss=3224 lpdt=25 plt=25
1779183356 power=4540 rss=3224 lpdt=26 plt=26
1779183358 power=4540 rss=3224 lpdt=25 plt=24
1779183359 power=4560 rss=3224 lpdt=26 plt=25
1779183361 power=4490 rss=3224 lpdt=27 plt=25
1779183362 power=4500 rss=3224 lpdt=26 plt=26
1779183364 power=4480 rss=3224 lpdt=25 plt=25
1779183365 power=4530 rss=3224 lpdt=26 plt=25
1779183367 power=4540 rss=3224 lpdt=24 plt=25
1779183368 power=4590 rss=3224 lpdt=25 plt=24
1779183370 power=4900 rss=3224 lpdt=27 plt=24
1779183371 power=4520 rss=3224 lpdt=25 plt=24
1779183373 power=4540 rss=3224 lpdt=24 plt=26
1779183374 power=4530 rss=3224 lpdt=26 plt=26
1779183376 power=4550 rss=3224 lpdt=26 plt=25
1779183377 power=4520 rss=3224 lpdt=26 plt=23
1779183378 power=4550 rss=3224 lpdt=27 plt=26
1779183380 power=4530 rss=3224 lpdt=26 plt=24
1779183381 power=4540 rss=3224 lpdt=25 plt=25
1779183383 power=4530 rss=3224 lpdt=26 plt=26
1779183384 power=4520 rss=3224 lpdt=27 plt=25
1779183386 power=4530 rss=3224 lpdt=27 plt=24
1779183387 power=4530 rss=3224 lpdt=26 plt=24
1779183388 power=4540 rss=3224 lpdt=27 plt=25
1779183390 power=4540 rss=3224 lpdt=24 plt=25
1779183391 power=4570 rss=3224 lpdt=27 plt=25
1779183393 power=4550 rss=3224 lpdt=27 plt=25
1779183394 power=4540 rss=3224 lpdt=25 plt=25
1779183396 power=4540 rss=3224 lpdt=25 plt=24
1779183397 power=4570 rss=3224 lpdt=25 plt=24
1779183398 power=4560 rss=3224 lpdt=25 plt=25
1779183400 power=4530 rss=3224 lpdt=25 plt=25
1779183401 power=4530 rss=3224 lpdt=27 plt=25
1779183403 power=4590 rss=3224 lpdt=26 plt=25
1779183404 power=4540 rss=3224 lpdt=25 plt=25
1779183406 power=4500 rss=3224 lpdt=26 plt=26
1779183407 power=4520 rss=3224 lpdt=26 plt=24
1779183409 power=4590 rss=3224 lpdt=26 plt=25
1779183410 power=4540 rss=3224 lpdt=25 plt=25
1779183411 power=4520 rss=3224 lpdt=26 plt=24
1779183413 power=4520 rss=3224 lpdt=27 plt=25
1779183414 power=4530 rss=3224 lpdt=26 plt=24
1779183416 power=4540 rss=3224 lpdt=25 plt=24
1779183417 power=4540 rss=3224 lpdt=26 plt=25
1779183419 power=5040 rss=3224 lpdt=26 plt=24
1779183420 power=4560 rss=3224 lpdt=26 plt=26
1779183421 power=4530 rss=3224 lpdt=26 plt=26
1779183423 power=4540 rss=3224 lpdt=27 plt=25
1779183424 power=4530 rss=3224 lpdt=26 plt=24
1779183426 power=4530 rss=3224 lpdt=25 plt=25
1779183427 power=4570 rss=3224 lpdt=26 plt=26
1779183429 power=4540 rss=3224 lpdt=25 plt=25
1779183430 power=4540 rss=3224 lpdt=27 plt=26
1779183431 power=4530 rss=3224 lpdt=25 plt=25
1779183433 power=4520 rss=3224 lpdt=25 plt=25
1779183434 power=4570 rss=3224 lpdt=26 plt=26
1779183436 power=4500 rss=3224 lpdt=26 plt=25
1779183437 power=4540 rss=3224 lpdt=26 plt=24
1779183439 power=4550 rss=3224 lpdt=26 plt=25
1779183440 power=4530 rss=3224 lpdt=26 plt=24
1779183442 power=4540 rss=3224 lpdt=25 plt=25
1779183443 power=4490 rss=3224 lpdt=26 plt=24
1779183445 power=4580 rss=3224 lpdt=26 plt=25
1779183446 power=4530 rss=3224 lpdt=27 plt=26
1779183447 power=4530 rss=3224 lpdt=26 plt=26
1779183449 power=4540 rss=3224 lpdt=25 plt=26
1779183450 power=4530 rss=3224 lpdt=26 plt=26
1779183452 power=4580 rss=3224 lpdt=26 plt=24
1779183453 power=4530 rss=3224 lpdt=26 plt=25
1779183455 power=4540 rss=3224 lpdt=26 plt=24
1779183456 power=4530 rss=3224 lpdt=25 plt=25
1779183458 power=4940 rss=3224 lpdt=26 plt=25
1779183459 power=4560 rss=3224 lpdt=27 plt=26
1779183460 power=4530 rss=3224 lpdt=26 plt=24
1779183462 power=4500 rss=3224 lpdt=26 plt=25
1779183463 power=4530 rss=3224 lpdt=26 plt=25
1779183465 power=4550 rss=3224 lpdt=26 plt=26
1779183466 power=4570 rss=3224 lpdt=27 plt=24
1779183468 power=4530 rss=3224 lpdt=25 plt=25
1779183469 power=4530 rss=3224 lpdt=25 plt=26
1779183471 power=4550 rss=3224 lpdt=26 plt=26
1779183472 power=4540 rss=3224 lpdt=27 plt=25
1779183473 power=4590 rss=3224 lpdt=26 plt=26
1779183475 power=4550 rss=3224 lpdt=26 plt=25
1779183476 power=4490 rss=3224 lpdt=24 plt=24
1779183478 power=4560 rss=3224 lpdt=26 plt=25
1779183479 power=4570 rss=3224 lpdt=27 plt=25
1779183481 power=4570 rss=3224 lpdt=27 plt=25
1779183482 power=4530 rss=3224 lpdt=26 plt=24
1779183484 power=4850 rss=3224 lpdt=26 plt=25
1779183485 power=4530 rss=3224 lpdt=26 plt=26
1779183486 power=4540 rss=3224 lpdt=25 plt=26
1779183488 power=4580 rss=3224 lpdt=27 plt=25
1779183489 power=4530 rss=3224 lpdt=26 plt=25
1779183491 power=4530 rss=3224 lpdt=27 plt=25
1779183492 power=4540 rss=3224 lpdt=26 plt=24
1779183494 power=4570 rss=3224 lpdt=26 plt=25
1779183495 power=4550 rss=3224 lpdt=26 plt=23
1779183496 power=4530 rss=3224 lpdt=25 plt=25
1779183498 power=4580 rss=3224 lpdt=27 plt=24
1779183499 power=4550 rss=3224 lpdt=25 plt=25
1779183501 power=4520 rss=3224 lpdt=26 plt=26
1779183502 power=4540 rss=3224 lpdt=25 plt=25
1779183504 power=4520 rss=3224 lpdt=25 plt=24
1779183505 power=4530 rss=3224 lpdt=26 plt=24
1779183507 power=4540 rss=3224 lpdt=26 plt=24
1779183508 power=4530 rss=3224 lpdt=26 plt=25
1779183510 power=4790 rss=3224 lpdt=25 plt=25
1779183511 power=4520 rss=3224 lpdt=27 plt=23
1779183512 power=4530 rss=3224 lpdt=25 plt=25
1779183514 power=4540 rss=3224 lpdt=27 plt=25
1779183515 power=4540 rss=3224 lpdt=26 plt=25
1779183517 power=4580 rss=3224 lpdt=27 plt=25
1779183518 power=4540 rss=3224 lpdt=26 plt=26
1779183520 power=4530 rss=3224 lpdt=26 plt=25
1779183521 power=4540 rss=3224 lpdt=25 plt=26
1779183523 power=4540 rss=3224 lpdt=27 plt=25
1779183524 power=4570 rss=3224 lpdt=25 plt=25
1779183525 power=4540 rss=3224 lpdt=26 plt=24
1779183527 power=4550 rss=3224 lpdt=26 plt=25
1779183528 power=4520 rss=3224 lpdt=25 plt=25
1779183530 power=4580 rss=3224 lpdt=26 plt=27
1779183531 power=4580 rss=3224 lpdt=25 plt=26
1779183533 power=4540 rss=3224 lpdt=26 plt=25
1779183534 power=4520 rss=3224 lpdt=26 plt=24
1779183536 power=4540 rss=3224 lpdt=27 plt=25
1779183537 power=4510 rss=3224 lpdt=26 plt=25
1779183539 power=4550 rss=3224 lpdt=27 plt=25
1779183540 power=4550 rss=3224 lpdt=26 plt=23
1779183541 power=4520 rss=3224 lpdt=26 plt=24
1779183543 power=4530 rss=3224 lpdt=24 plt=25
1779183544 power=4540 rss=3224 lpdt=27 plt=25
1779183546 power=4560 rss=3224 lpdt=25 plt=26
1779183547 power=4540 rss=3224 lpdt=26 plt=23
1779183549 power=4550 rss=3224 lpdt=26 plt=24
1779183550 power=4580 rss=3224 lpdt=27 plt=25
1779183552 power=4530 rss=3224 lpdt=25 plt=25
1779183553 power=4600 rss=3224 lpdt=26 plt=26
1779183554 power=4550 rss=3224 lpdt=25 plt=25
1779183556 power=4550 rss=3224 lpdt=27 plt=24
1779183557 power=4530 rss=3224 lpdt=26 plt=25
1779183559 power=4530 rss=3224 lpdt=25 plt=25
1779183560 power=4540 rss=3224 lpdt=26 plt=25
1779183562 power=4530 rss=3224 lpdt=25 plt=24
1779183563 power=4590 rss=3224 lpdt=25 plt=24
1779183565 power=4530 rss=3224 lpdt=27 plt=26
1779183566 power=4530 rss=3224 lpdt=24 plt=26
1779183567 power=4540 rss=3224 lpdt=25 plt=26
1779183569 power=4810 rss=3224 lpdt=25 plt=24
1779183570 power=4600 rss=3224 lpdt=26 plt=24
1779183572 power=4540 rss=3224 lpdt=25 plt=26
1779183573 power=4550 rss=3224 lpdt=25 plt=25
1779183575 power=4500 rss=3224 lpdt=27 plt=25
1779183576 power=4520 rss=3224 lpdt=25 plt=26
1779183578 power=4550 rss=3224 lpdt=26 plt=25
1779183579 power=4530 rss=3224 lpdt=25 plt=25
1779183581 power=4600 rss=3224 lpdt=27 plt=24
1779183582 power=4530 rss=3224 lpdt=26 plt=25
1779183584 power=4500 rss=3224 lpdt=26 plt=24
1779183585 power=4530 rss=3224 lpdt=25 plt=25
1779183586 power=4540 rss=3224 lpdt=25 plt=25
1779183588 power=4550 rss=3224 lpdt=27 plt=24
1779183589 power=4530 rss=3224 lpdt=25 plt=25
1779183591 power=4510 rss=3224 lpdt=26 plt=25
1779183592 power=4530 rss=3224 lpdt=26 plt=24
1779183594 power=4540 rss=3224 lpdt=25 plt=25
1779183595 power=4580 rss=3224 lpdt=26 plt=24
1779183597 power=4530 rss=3224 lpdt=26 plt=26
1779183598 power=4490 rss=3224 lpdt=25 plt=25
1779183600 power=4550 rss=3224 lpdt=25 plt=25
1779183601 power=4540 rss=3224 lpdt=26 plt=25
1779183602 power=4540 rss=3224 lpdt=26 plt=25
1779183604 power=4540 rss=3224 lpdt=25 plt=26
1779183605 power=4530 rss=3224 lpdt=26 plt=26
1779183607 power=4500 rss=3224 lpdt=26 plt=24
1779183608 power=4530 rss=3224 lpdt=26 plt=26
1779183610 power=4580 rss=3224 lpdt=27 plt=25
1779183611 power=4550 rss=3224 lpdt=25 plt=25
1779183612 power=4530 rss=3224 lpdt=25 plt=25
1779183614 power=4520 rss=3224 lpdt=26 plt=25
1779183615 power=4520 rss=3224 lpdt=25 plt=25
1779183617 power=4590 rss=3224 lpdt=26 plt=26
1779183618 power=4560 rss=3224 lpdt=26 plt=26
1779183620 power=4560 rss=3224 lpdt=26 plt=26
1779183621 power=4530 rss=3224 lpdt=25 plt=26
1779183623 power=4530 rss=3224 lpdt=26 plt=24
1779183624 power=4530 rss=3224 lpdt=26 plt=25
1779183625 power=4540 rss=3224 lpdt=26 plt=24
1779183627 power=4540 rss=3224 lpdt=26 plt=24
1779183628 power=4540 rss=3224 lpdt=27 plt=25
1779183630 power=4540 rss=3224 lpdt=26 plt=25
1779183631 power=4540 rss=3224 lpdt=27 plt=25
1779183633 power=4540 rss=3224 lpdt=25 plt=25
1779183634 power=4540 rss=3224 lpdt=25 plt=25
1779183635 power=4590 rss=3224 lpdt=28 plt=25
1779183637 power=4550 rss=3224 lpdt=25 plt=24
1779183638 power=4550 rss=3224 lpdt=26 plt=25
1779183640 power=4540 rss=3224 lpdt=26 plt=25
1779183641 power=4550 rss=3224 lpdt=26 plt=25
1779183643 power=4550 rss=3224 lpdt=26 plt=25
1779183644 power=4560 rss=3224 lpdt=26 plt=25
1779183646 power=4540 rss=3224 lpdt=26 plt=24
1779183647 power=4540 rss=3224 lpdt=25 plt=24
1779183648 power=4520 rss=3224 lpdt=25 plt=25
1779183650 power=4560 rss=3224 lpdt=26 plt=26
1779183651 power=4550 rss=3224 lpdt=26 plt=25
1779183653 power=4540 rss=3224 lpdt=26 plt=23
1779183654 power=4540 rss=3224 lpdt=25 plt=25
1779183656 power=4550 rss=3224 lpdt=26 plt=25
1779183657 power=4570 rss=3224 lpdt=26 plt=25
1779183659 power=4540 rss=3224 lpdt=27 plt=25
1779183660 power=4550 rss=3224 lpdt=25 plt=25
1779183661 power=4540 rss=3224 lpdt=26 plt=26
1779183663 power=4550 rss=3224 lpdt=25 plt=26
1779183664 power=4570 rss=3224 lpdt=26 plt=25
1779183666 power=4540 rss=3224 lpdt=26 plt=25
1779183667 power=4550 rss=3224 lpdt=26 plt=26
1779183669 power=4530 rss=3224 lpdt=26 plt=26
1779183670 power=4530 rss=3224 lpdt=26 plt=25
1779183672 power=4570 rss=3224 lpdt=26 plt=24
1779183673 power=4520 rss=3224 lpdt=25 plt=26
1779183674 power=4530 rss=3224 lpdt=25 plt=24
1779183676 power=4540 rss=3224 lpdt=25 plt=26
1779183677 power=4550 rss=3224 lpdt=26 plt=24
1779183679 power=4530 rss=3224 lpdt=25 plt=26
1779183680 power=4570 rss=3224 lpdt=25 plt=24
1779183682 power=4530 rss=3224 lpdt=28 plt=25
1779183683 power=4540 rss=3224 lpdt=26 plt=26
1779183684 power=4540 rss=3224 lpdt=25 plt=25
1779183686 power=4580 rss=3224 lpdt=26 plt=25
1779183687 power=4520 rss=3224 lpdt=26 plt=26
1779183689 power=4530 rss=3224 lpdt=26 plt=25
1779183690 power=4530 rss=3224 lpdt=25 plt=27
1779183692 power=4540 rss=3224 lpdt=26 plt=26
1779183693 power=4560 rss=3224 lpdt=26 plt=26
1779183695 power=4530 rss=3224 lpdt=27 plt=25
1779183696 power=4530 rss=3224 lpdt=25 plt=26
1779183698 power=4550 rss=3224 lpdt=26 plt=26
1779183699 power=4540 rss=3224 lpdt=26 plt=26
1779183700 power=4530 rss=3224 lpdt=27 plt=25
1779183702 power=4540 rss=3224 lpdt=26 plt=26
1779183703 power=4530 rss=3224 lpdt=27 plt=25
1779183705 power=4540 rss=3224 lpdt=27 plt=26
1779183706 power=4530 rss=3224 lpdt=25 plt=24
1779183708 power=4560 rss=3224 lpdt=27 plt=26
1779183709 power=4540 rss=3224 lpdt=26 plt=25
1779183710 power=4550 rss=3224 lpdt=25 plt=25
1779183712 power=4540 rss=3224 lpdt=26 plt=25
1779183713 power=4520 rss=3224 lpdt=26 plt=25
1779183715 power=4560 rss=3224 lpdt=26 plt=25
1779183716 power=4540 rss=3224 lpdt=27 plt=25
1779183718 power=4550 rss=3224 lpdt=26 plt=26
1779183719 power=4540 rss=3224 lpdt=27 plt=25
1779183721 power=4530 rss=3224 lpdt=26 plt=25
1779183722 power=4570 rss=3224 lpdt=25 plt=25
1779183724 power=4530 rss=3224 lpdt=27 plt=24
1779183725 power=4580 rss=3224 lpdt=27 plt=24
1779183726 power=4540 rss=3224 lpdt=26 plt=26
1779183728 power=4530 rss=3224 lpdt=26 plt=26
1779183729 power=4550 rss=3224 lpdt=25 plt=26
1779183731 power=4530 rss=3224 lpdt=26 plt=26
1779183732 power=4550 rss=3224 lpdt=26 plt=23
1779183734 power=4540 rss=3224 lpdt=25 plt=25
1779183735 power=4560 rss=3224 lpdt=25 plt=25
1779183737 power=4530 rss=3224 lpdt=27 plt=24
1779183738 power=4530 rss=3224 lpdt=25 plt=26
1779183740 power=4580 rss=3224 lpdt=26 plt=25
1779183741 power=4530 rss=3224 lpdt=27 plt=25
1779183742 power=4550 rss=3224 lpdt=25 plt=25
1779183744 power=4530 rss=3224 lpdt=25 plt=26
1779183745 power=4530 rss=3224 lpdt=26 plt=26
1779183747 power=4560 rss=3224 lpdt=25 plt=24
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       1 |            tg64 |          0.97 ± 0.00 |

build: 2cd20b72e (8210)

=== Summary CPU T1 ===
Throughput: | model                          |       size |     params | backend    | threads |            test |                  t/s |
