=== CPU Only | T=1 | R=10 ===

[09:30:44] Running llama-bench (CPU Only)...
1779183044 power=4430 rss=3224 lpdt=26 plt=26
1779183046 power=4830 rss=3224 lpdt=26 plt=26
1779183047 power=4500 rss=3224 lpdt=26 plt=24
1779183049 power=4470 rss=3224 lpdt=25 plt=26
1779183050 power=4500 rss=3224 lpdt=27 plt=25
1779183051 power=4450 rss=3224 lpdt=26 plt=26
1779183053 power=4450 rss=3224 lpdt=26 plt=26
1779183054 power=4510 rss=3224 lpdt=28 plt=25
1779183056 power=4450 rss=3224 lpdt=26 plt=24
1779183057 power=4450 rss=3224 lpdt=25 plt=24
1779183058 power=4430 rss=3224 lpdt=26 plt=25
1779183060 power=4460 rss=3224 lpdt=27 plt=25
1779183061 power=4480 rss=3224 lpdt=27 plt=25
1779183063 power=4440 rss=3224 lpdt=27 plt=25
1779183064 power=4440 rss=3224 lpdt=26 plt=27
1779183066 power=4460 rss=3224 lpdt=26 plt=25
1779183067 power=4440 rss=3224 lpdt=25 plt=25
1779183068 power=4490 rss=3224 lpdt=27 plt=27
1779183070 power=4660 rss=3224 lpdt=26 plt=25
1779183071 power=4460 rss=3224 lpdt=25 plt=25
1779183073 power=4460 rss=3224 lpdt=26 plt=25
1779183074 power=4510 rss=3224 lpdt=26 plt=26
1779183076 power=4550 rss=3224 lpdt=27 plt=26
1779183077 power=4430 rss=3224 lpdt=27 plt=24
1779183079 power=4440 rss=3224 lpdt=25 plt=25
1779183080 power=4500 rss=3224 lpdt=26 plt=24
1779183081 power=4460 rss=3224 lpdt=25 plt=24
1779183083 power=4440 rss=3224 lpdt=26 plt=25
1779183084 power=4440 rss=3224 lpdt=28 plt=26
1779183086 power=4450 rss=3224 lpdt=26 plt=26
| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       1 |             pp4 |          1.10 ± 0.00 |
1779183087 power=4570 rss=3224 lpdt=26 plt=25
1779183089 power=4550 rss=3224 lpdt=27 plt=25
1779183090 power=4540 rss=3224 lpdt=26 plt=24
1779183091 power=4570 rss=3224 lpdt=27 plt=26
1779183093 power=4600 rss=3224 lpdt=27 plt=25
1779183094 power=4590 rss=3224 lpdt=26 plt=25
1779183096 power=4540 rss=3224 lpdt=25 plt=26
1779183097 power=4550 rss=3224 lpdt=25 plt=25
1779183099 power=4520 rss=3224 lpdt=27 plt=25
1779183100 power=4560 rss=3224 lpdt=27 plt=24
1779183102 power=4540 rss=3224 lpdt=26 plt=25
1779183103 power=4530 rss=3224 lpdt=25 plt=26
1779183104 power=4540 rss=3224 lpdt=27 plt=25
1779183106 power=4550 rss=3224 lpdt=26 plt=25
1779183107 power=4920 rss=3224 lpdt=26 plt=25
1779183109 power=4520 rss=3224 lpdt=27 plt=25
1779183110 power=4560 rss=3224 lpdt=27 plt=26
1779183112 power=4530 rss=3224 lpdt=25 plt=25
1779183113 power=4500 rss=3224 lpdt=25 plt=24
1779183115 power=4550 rss=3224 lpdt=27 plt=24
1779183116 power=4530 rss=3224 lpdt=27 plt=26
1779183117 power=4530 rss=3224 lpdt=26 plt=24
1779183119 power=4550 rss=3224 lpdt=26 plt=26
1779183120 power=4550 rss=3224 lpdt=26 plt=25
1779183122 power=4600 rss=3224 lpdt=25 plt=25
1779183123 power=4540 rss=3224 lpdt=26 plt=25
1779183125 power=4560 rss=3224 lpdt=26 plt=25
1779183126 power=4540 rss=3224 lpdt=25 plt=24
1779183128 power=4560 rss=3224 lpdt=25 plt=25
1779183129 power=4550 rss=3224 lpdt=25 plt=25
1779183131 power=4540 rss=3224 lpdt=27 plt=25
1779183132 power=4520 rss=3224 lpdt=26 plt=26
1779183133 power=4520 rss=3224 lpdt=25 plt=25
1779183135 power=4520 rss=3224 lpdt=25 plt=25
1779183136 power=4520 rss=3224 lpdt=27 plt=25
1779183138 power=4540 rss=3224 lpdt=26 plt=25
1779183139 power=4550 rss=3224 lpdt=27 plt=24
1779183141 power=4540 rss=3224 lpdt=25 plt=24
1779183142 power=4550 rss=3224 lpdt=26 plt=26
1779183143 power=4560 rss=3224 lpdt=27 plt=23
1779183145 power=4530 rss=3224 lpdt=26 plt=25
1779183146 power=4510 rss=3224 lpdt=27 plt=25
