=== CPU Only | T=3 | R=10 ===

[09:20:01] Running llama-bench (CPU Only)...
1779182401 power=4430 rss=3240 lpdt=24 plt=24
1779182402 power=4310 rss=3240 lpdt=24 plt=24
1779182404 power=4260 rss=3240 lpdt=26 plt=24
1779182405 power=4210 rss=3240 lpdt=25 plt=24
1779182406 power=4370 rss=3240 lpdt=27 plt=24
1779182408 power=4680 rss=3240 lpdt=26 plt=24
1779182410 power=4630 rss=3240 lpdt=27 plt=24
1779182411 power=4830 rss=3240 lpdt=26 plt=25
1779182413 power=4870 rss=3240 lpdt=28 plt=24
1779182415 power=4650 rss=3240 lpdt=27 plt=25
1779182416 power=4830 rss=3240 lpdt=27 plt=24
1779182418 power=4600 rss=3240 lpdt=26 plt=25
1779182419 power=4850 rss=3240 lpdt=28 plt=26
| model                          |       size |     params | backend    | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | ------: | --------------: | -------------------: |
| lfm2 1.2B Q4_K - Medium        | 628.25 MiB |     1.17 B | CPU        |       3 |             pp4 |          3.23 ± 0.03 |
1779182421 power=5150 rss=3240 lpdt=26 plt=25
1779182423 power=5100 rss=3240 lpdt=25 plt=24
1779182424 power=5160 rss=3240 lpdt=25 plt=25
1779182426 power=4840 rss=3240 lpdt=26 plt=25
1779182428 power=5160 rss=3240 lpdt=26 plt=25
1779182429 power=4890 rss=3240 lpdt=26 plt=26
1779182431 power=5170 rss=3240 lpdt=26 plt=24
1779182433 power=5170 rss=3240 lpdt=25 plt=25
1779182434 power=5220 rss=3240 lpdt=25 plt=25
1779182436 power=5040 rss=3240 lpdt=27 plt=25
1779182438 power=5160 rss=3240 lpdt=27 plt=24
1779182439 power=5290 rss=3240 lpdt=24 plt=25
1779182441 power=5090 rss=3240 lpdt=25 plt=26
1779182443 power=5190 rss=3240 lpdt=27 plt=25
1779182444 power=5150 rss=3240 lpdt=26 plt=26
1779182446 power=5150 rss=3240 lpdt=27 plt=26
1779182448 power=5170 rss=3240 lpdt=26 plt=26
1779182449 power=4900 rss=3240 lpdt=27 plt=26
1779182451 power=5150 rss=3240 lpdt=27 plt=25
1779182453 power=4900 rss=3240 lpdt=27 plt=26
1779182454 power=4980 rss=3240 lpdt=27 plt=26
1779182456 power=5100 rss=3240 lpdt=26 plt=26
1779182458 power=4890 rss=3240 lpdt=26 plt=24
1779182459 power=4990 rss=3240 lpdt=26 plt=26
1779182461 power=5190 rss=3240 lpdt=27 plt=25
1779182463 power=5130 rss=3240 lpdt=25 plt=26
1779182465 power=4890 rss=3240 lpdt=27 plt=24
1779182466 power=5140 rss=3240 lpdt=26 plt=25
1779182468 power=4920 rss=3240 lpdt=26 plt=25
1779182470 power=5250 rss=3240 lpdt=26 plt=25
1779182471 power=5080 rss=3240 lpdt=26 plt=26
1779182473 power=5150 rss=3240 lpdt=26 plt=25
1779182475 power=5150 rss=3240 lpdt=26 plt=26
1779182476 power=5080 rss=3240 lpdt=26 plt=26
1779182478 power=5110 rss=3240 lpdt=26 plt=25
1779182480 power=4930 rss=3240 lpdt=26 plt=26
1779182481 power=5010 rss=3240 lpdt=27 plt=24
1779182483 power=5170 rss=3240 lpdt=28 plt=26
1779182485 power=4870 rss=3240 lpdt=27 plt=25
1779182486 power=5120 rss=3240 lpdt=27 plt=25
1779182488 power=5130 rss=3240 lpdt=27 plt=24
1779182490 power=4990 rss=3240 lpdt=27 plt=26
1779182491 power=5130 rss=3240 lpdt=26 plt=26
1779182493 power=5080 rss=3240 lpdt=27 plt=25
1779182494 power=5160 rss=3240 lpdt=26 plt=26
1779182496 power=5120 rss=3240 lpdt=27 plt=25
1779182498 power=4860 rss=3240 lpdt=26 plt=26
1779182499 power=5150 rss=3240 lpdt=26 plt=26
1779182501 power=4870 rss=3240 lpdt=27 plt=24
1779182503 power=4910 rss=3240 lpdt=26 plt=26
1779182504 power=5140 rss=3240 lpdt=28 plt=26
1779182506 power=5170 rss=3240 lpdt=28 plt=26
1779182508 power=5140 rss=3240 lpdt=25 plt=25
1779182509 power=4890 rss=3240 lpdt=27 plt=26
1779182511 power=5040 rss=3240 lpdt=27 plt=26
1779182513 power=4940 rss=3240 lpdt=26 plt=26
1779182514 power=5030 rss=3240 lpdt=27 plt=25
1779182516 power=5070 rss=3240 lpdt=27 plt=25
1779182518 power=5130 rss=3240 lpdt=27 plt=25
1779182519 power=5170 rss=3240 lpdt=27 plt=26
1779182521 power=4780 rss=3240 lpdt=26 plt=26
1779182523 power=5220 rss=3240 lpdt=26 plt=26
1779182524 power=5150 rss=3240 lpdt=27 plt=24
1779182526 power=5170 rss=3240 lpdt=27 plt=25
1779182528 power=5160 rss=3240 lpdt=26 plt=25
1779182529 power=5100 rss=3240 lpdt=28 plt=25
1779182531 power=4860 rss=3240 lpdt=27 plt=26
1779182533 power=5150 rss=3240 lpdt=28 plt=26
1779182534 power=5150 rss=3240 lpdt=26 plt=25
1779182536 power=5150 rss=3240 lpdt=27 plt=26
1779182538 power=5110 rss=3240 lpdt=28 plt=26
1779182539 power=5250 rss=3240 lpdt=26 plt=25
1779182541 power=4880 rss=3240 lpdt=27 plt=26
1779182543 power=5150 rss=3240 lpdt=28 plt=26
1779182545 power=5140 rss=3240 lpdt=28 plt=24
1779182546 power=5180 rss=3240 lpdt=27 plt=25
1779182548 power=5160 rss=3240 lpdt=26 plt=26
1779182550 power=5140 rss=3240 lpdt=27 plt=25
1779182551 power=5020 rss=3240 lpdt=27 plt=27
1779182553 power=5190 rss=3240 lpdt=27 plt=26
1779182555 power=4970 rss=3240 lpdt=27 plt=26
1779182556 power=5060 rss=3240 lpdt=27 plt=26
1779182558 power=5150 rss=3240 lpdt=26 plt=25
1779182560 power=5140 rss=3240 lpdt=27 plt=24
1779182561 power=5030 rss=3240 lpdt=27 plt=25
1779182563 power=5230 rss=3240 lpdt=25 plt=26
